fastqs,library_type,sample
/nfs/turbo/umms-thahoang/sherine/Neurog2_multiomics/align,Gene Expression,13793-TH-1-GEX
/nfs/turbo/umms-thahoang/sherine/Neurog2_multiomics/align,Chromatin Accessibility,13793-TH-1-ATAC
